Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,243.199997,243.830002,241.300003,243.660004,235.497711,2321900,0.460007
14/02/2023,242.699997,243,239.110001,241.029999,235.010193,2015900,-1.669998
15/02/2023,240.210007,240.539993,238.729996,240.070007,234.074173,1783300,-0.14
16/02/2023,238.460007,239.009995,234.039993,234.220001,228.37027,3291800,-4.240006
17/02/2023,235.339996,241.720001,233.710007,240.529999,234.522675,2978100,5.190003
21/02/2023,240.789993,241.919998,238.199997,238.240005,232.289871,2524100,-2.549988
22/02/2023,240.300003,240.990005,235.75,236.160004,230.261826,2187600,-4.139999
23/02/2023,236.699997,237.860001,234.75,237.619995,231.685349,2211600,0.919998
24/02/2023,236.830002,237.059998,233.119995,233.660004,227.824265,1853900,-3.169998
27/02/2023,235.220001,235.220001,232.889999,234.449997,228.594528,1723000,-0.770004
28/02/2023,233.630005,234.470001,231.600006,231.660004,225.874207,2615700,-1.970001
01/03/2023,230.369995,236.440002,230.139999,236.190002,230.291077,2441300,5.820007
02/03/2023,236.119995,236.369995,233.899994,234.740005,228.877289,1777100,-1.37999
03/03/2023,235,235.889999,233.600006,234.809998,228.945526,2214500,-0.190002
06/03/2023,235,235.630005,233.639999,235.110001,229.238037,2591000,0.110001
07/03/2023,235.110001,235.199997,228.350006,228.720001,223.007629,2362200,-6.39
08/03/2023,230.160004,231.800003,227.369995,228.429993,222.724869,1842200,-1.730011
09/03/2023,229.490005,229.830002,225.399994,225.789993,220.150803,1736900,-3.700012
10/03/2023,226.770004,230.279999,225.630005,227.869995,222.178848,2661800,1.099991
13/03/2023,231.179993,237.270004,230.5,233.179993,227.356232,3146000,2
14/03/2023,233.460007,233.460007,229.410004,230.580002,224.821167,3227100,-2.880005
15/03/2023,230.399994,235.570007,228.550003,234.899994,229.033295,3092300,4.5
16/03/2023,233.740005,234.660004,230.059998,234.570007,228.711533,2326000,0.830002
17/03/2023,233.570007,233.809998,228.520004,229.789993,224.050903,7817000,-3.780014
20/03/2023,230.580002,235.160004,230.139999,234.720001,228.857788,2020800,4.139999
21/03/2023,234.720001,235.279999,231.039993,232.949997,227.131989,2128600,-1.770004
22/03/2023,233.449997,233.949997,229.589996,229.830002,224.089905,1725100,-3.619995
23/03/2023,230.039993,234.100006,229.889999,233.100006,227.278244,2175700,3.060013
24/03/2023,234.220001,238.5,233.009995,238.029999,232.085114,2547300,3.809998
27/03/2023,239.610001,239.949997,235.070007,236.759995,230.846832,2129100,-2.850006
28/03/2023,237,238.679993,236.910004,238.479996,232.523865,1887800,1.479996
29/03/2023,239.710007,241.589996,238.330002,241.029999,235.010193,2744000,1.319992
30/03/2023,242.529999,242.809998,240.110001,241.5,235.468445,2577000,-1.029999
31/03/2023,241.429993,242.399994,239.149994,241.75,235.712204,2762500,0.320007
03/04/2023,242,244.75,241.360001,244.440002,238.335007,2478700,2.440002
04/04/2023,244.520004,248.110001,243.800003,247.529999,241.347839,2942800,3.009995
05/04/2023,248.570007,253.710007,248.229996,253.369995,247.041992,2468000,4.799988
06/04/2023,254.360001,255.429993,252.929993,253.320007,246.99324,2047800,-1.039994
10/04/2023,256.440002,256.440002,250.050003,250.899994,244.633667,1595600,-5.540008
11/04/2023,251.419998,253.080002,250.979996,251.429993,245.150436,1272800,0.009995
12/04/2023,252.5,252.710007,248.880005,249.5,243.268646,2268900,-3
13/04/2023,248.600006,251.899994,248.270004,251.440002,245.160187,2020900,2.839996
14/04/2023,250.619995,251.759995,248.960007,250,243.756165,1866200,-0.619995
17/04/2023,250.889999,251.5,247.580002,248.070007,241.874359,1784800,-2.819992
18/04/2023,248.369995,249.009995,244.649994,246.089996,239.943817,1638800,-2.279999
19/04/2023,245.25,246.759995,244.369995,246.210007,240.060822,1246500,0.960007
20/04/2023,246.119995,246.399994,243.050003,243.460007,237.379501,1691300,-2.659988
21/04/2023,243.460007,243.919998,242.649994,243.860001,237.769516,1721300,0.399994
24/04/2023,243.199997,245.369995,242.330002,244.449997,238.344757,1232100,1.25
25/04/2023,245.119995,246.529999,244.309998,244.869995,238.754272,1509700,-0.25
26/04/2023,242.080002,243.550003,238.580002,238.800003,232.835876,2002900,-3.279999
27/04/2023,239.240005,240.710007,235.399994,240.339996,234.337402,2533900,1.099991
28/04/2023,236.820007,240.100006,233.169998,239.740005,233.752411,2721400,2.919998
01/05/2023,240.029999,241.300003,238.089996,238.899994,232.933395,1920500,-1.130005
02/05/2023,238.080002,239,235.389999,235.970001,230.076569,2127200,-2.110001
03/05/2023,235.970001,236.300003,228.979996,229.309998,223.582901,2998000,-6.660003
04/05/2023,230.309998,232.029999,229.149994,231.889999,226.098465,2228500,1.580001
05/05/2023,232.660004,237.039993,232.070007,236.529999,230.622574,2806800,3.869995
08/05/2023,235.339996,235.740005,232.199997,234.619995,228.760284,1667800,-0.720001
09/05/2023,234.639999,235.440002,233.220001,234.429993,228.575012,1468900,-0.210006
10/05/2023,234.889999,235,231.350006,234.110001,228.263031,1530800,-0.779998
11/05/2023,234.649994,234.990005,230.410004,232.289993,226.488464,1612400,-2.360001
12/05/2023,233.029999,233.550003,231.210007,232.949997,227.131989,1295600,-0.080002
15/05/2023,233.270004,233.919998,232.119995,233.529999,227.697495,1551300,0.259995
16/05/2023,234.210007,234.509995,227.740005,227.880005,222.188614,2646500,-6.330002
17/05/2023,226.020004,226.089996,220.440002,225.020004,221.470139,3352900,-1
18/05/2023,224.75,224.75,221.919998,224.229996,220.692581,2245300,-0.520004
19/05/2023,224.440002,225.880005,222.779999,223.419998,219.89537,2395700,-1.020004
22/05/2023,224.850006,226.820007,222.820007,223.990005,220.45639,1848600,-0.860001
