Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,179.240005,181.380005,178.279999,181.330002,178.729187,3102400,2.089997
14/02/2023,180.309998,182.149994,178.789993,181.020004,178.423645,2325900,0.710006
15/02/2023,178.919998,180.740005,178.5,180.669998,178.078659,1501200,1.75
16/02/2023,179.479996,179.880005,177.679993,177.940002,175.387802,1899100,-1.539994
17/02/2023,176.050003,177.610001,174.660004,177.300003,174.757004,2355300,1.25
21/02/2023,175.119995,176.5,173.320007,173.479996,170.991776,2713300,-1.639999
22/02/2023,173.559998,176.020004,172.929993,174.699997,172.194275,2468800,1.139999
23/02/2023,175.240005,176.600006,172.860001,175.139999,172.627975,2575300,-0.100006
24/02/2023,173.690002,174.940002,172.190002,174.25,171.750748,1667400,0.559998
27/02/2023,175.529999,175.690002,173.080002,173.300003,170.814362,1909000,-2.229996
28/02/2023,174.009995,175.339996,173.580002,173.990005,171.494461,2301400,-0.01999
01/03/2023,173.509995,177.199997,173.009995,175.910004,173.386932,2566500,2.400009
02/03/2023,174.039993,175.830002,172.660004,175.339996,172.825089,1795000,1.300003
03/03/2023,176.009995,179.389999,175.229996,179.089996,176.521317,2875600,3.080001
06/03/2023,178.559998,180.520004,178.460007,179.059998,176.491745,2730700,0.5
07/03/2023,178.669998,178.899994,175.080002,175.320007,172.805389,2906400,-3.349991
08/03/2023,175.830002,176.220001,173.570007,174.830002,172.322418,2101400,-1
09/03/2023,179.600006,180.270004,171.960007,172.119995,169.651276,4349400,-7.480011
10/03/2023,170.830002,170.830002,164.839996,165.699997,163.323364,5104300,-5.130005
13/03/2023,161.490005,161.990005,157.419998,157.630005,155.369125,6123200,-3.86
14/03/2023,161.5,164.320007,160.880005,163.910004,161.559036,5284000,2.410004
15/03/2023,157.910004,159.960007,155.929993,159.809998,157.517838,6100800,1.899994
16/03/2023,158.059998,161.919998,156.100006,160.729996,158.424652,4737300,2.669998
17/03/2023,158.220001,158.649994,154.899994,156.520004,154.275024,7447200,-1.699997
20/03/2023,158.369995,160.690002,157.570007,158.740005,156.463196,3054300,0.37001
21/03/2023,162.940002,164.570007,161.699997,164.559998,162.199707,3986800,1.619996
22/03/2023,164.630005,166.770004,162.5,162.75,160.415665,4367300,-1.880005
23/03/2023,162.669998,166.240005,160.820007,162.759995,160.425522,3727500,0.089997
24/03/2023,160.520004,160.710007,157.820007,159.779999,157.488281,2588700,-0.740005
27/03/2023,163.949997,164.470001,161.830002,163.119995,160.78038,3984300,-0.830002
28/03/2023,162.210007,162.589996,158.190002,159.210007,156.926453,4883700,-3
29/03/2023,161.699997,164.190002,161.080002,163.589996,161.243622,3884800,1.889999
30/03/2023,163.960007,164.960007,161.809998,162.410004,160.080566,2644800,-1.550003
31/03/2023,163.669998,165.080002,161.75,164.949997,162.584106,3594300,1.279999
03/04/2023,164.110001,165.240005,162.679993,163.779999,161.430908,2704400,-0.330002
04/04/2023,165.009995,165.190002,160.830002,162.559998,160.228394,2063500,-2.449997
05/04/2023,160.559998,161.600006,160.190002,161.080002,159.357819,2346800,0.520004
06/04/2023,160.630005,160.789993,158.229996,158.830002,157.131882,3754500,-1.800003
10/04/2023,158.039993,161.169998,157.800003,161.139999,159.417175,2372600,3.100006
11/04/2023,161.669998,162.580002,160.320007,161.830002,160.099808,2742300,0.160004
12/04/2023,163.220001,163.220001,158.869995,159.289993,157.58696,2817600,-3.930008
13/04/2023,159.800003,162.419998,158.979996,162.300003,160.564789,2729000,2.5
14/04/2023,164.240005,164.770004,161.460007,163.220001,161.47493,2618100,-1.020004
17/04/2023,161.940002,163.740005,160.889999,163.710007,161.959702,2622300,1.770005
18/04/2023,164.600006,165.050003,163.279999,164.399994,162.642303,2444500,-0.200012
19/04/2023,164.369995,166.550003,163.740005,164.949997,163.186432,3768600,0.580002
20/04/2023,159,163.75,154.009995,163.279999,161.534302,10832400,4.279999
21/04/2023,163.020004,164.770004,161.229996,163.779999,162.028946,3882500,0.759995
24/04/2023,164.229996,164.300003,160.399994,160.589996,158.873032,2473500,-3.64
25/04/2023,158.910004,159.25,155.970001,156.119995,154.450851,3421300,-2.790009
26/04/2023,155.770004,157.259995,155.080002,155.720001,154.05513,2789100,-0.050003
27/04/2023,156.539993,158.699997,155.910004,158.449997,156.755936,2143500,1.910004
28/04/2023,157.300003,161.380005,156.880005,161.339996,159.615036,2379800,4.039993
