Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,213.600006,216.360001,211.5,215.649994,215.649994,5193300,2.049988
14/02/2023,214.020004,221.330002,213.149994,218.449997,218.449997,10033100,4.429993
15/02/2023,217.160004,218.25,214.600006,217.440002,217.440002,4846800,0.279998
16/02/2023,215,216.520004,212.169998,212.210007,212.210007,4388000,-2.789993
17/02/2023,211.210007,211.759995,207.619995,211.660004,211.660004,4985700,0.449997
21/02/2023,208.990005,210.839996,205.050003,205.520004,205.520004,4663800,-3.470001
22/02/2023,205.309998,207.669998,204.649994,205.759995,205.759995,2920000,0.449997
23/02/2023,207.449997,209.690002,205.759995,208.130005,208.130005,4139400,0.680008
24/02/2023,200,201.699997,197.360001,198.149994,198.149994,9658700,-1.850006
27/02/2023,199.869995,203.130005,199.059998,200.460007,200.460007,4318900,0.590012
28/02/2023,201,202.380005,199.320007,201.550003,201.550003,3589900,0.550003
01/03/2023,201.470001,205.440002,200.850006,204.550003,204.550003,4402300,3.080002
02/03/2023,203.779999,210.330002,203.149994,210.059998,210.059998,5451500,6.279999
03/03/2023,210.25,216.119995,209.399994,215.110001,215.110001,7496800,4.860001
06/03/2023,214.119995,214.75,209.600006,211.919998,211.919998,7004400,-2.199997
07/03/2023,211.309998,213.179993,207.779999,207.919998,207.919998,4619700,-3.39
08/03/2023,208.25,208.880005,205.940002,207.199997,207.199997,2406900,-1.050003
09/03/2023,208.320007,209.020004,200.300003,201.240005,201.240005,4284000,-7.080002
10/03/2023,201.429993,205,197.789993,203.070007,203.070007,8547100,1.640014
13/03/2023,200.199997,207.080002,197.110001,203.369995,203.369995,6671200,3.169998
14/03/2023,207.529999,213.559998,205,207.279999,207.279999,8245700,-0.25
15/03/2023,201.919998,202.210007,192.410004,198.210007,198.210007,10894200,-3.709991
16/03/2023,196.210007,203.910004,194.429993,203.190002,203.190002,6747300,6.979995
17/03/2023,201.350006,202.830002,199,201.050003,201.050003,9858900,-0.300003
20/03/2023,201.119995,205.869995,200.869995,204.770004,204.770004,4764000,3.650009
21/03/2023,207.300003,207.860001,203.889999,204.699997,204.699997,4673300,-2.600006
22/03/2023,203.679993,203.830002,196.009995,196.160004,196.160004,7311600,-7.519989
23/03/2023,197.899994,201.5,195.139999,197.899994,197.899994,6266900,0
24/03/2023,195.5,197.570007,193.919998,197.529999,197.529999,4511600,2.029999
27/03/2023,198.630005,201.550003,198.630005,200.570007,200.570007,3891700,1.940002
28/03/2023,200.820007,206.300003,200.490005,204.960007,204.960007,5460600,4.14
29/03/2023,206.5,208.649994,205.880005,207.970001,207.970001,3572200,1.470001
30/03/2023,208.970001,212.869995,206.520004,211.039993,211.039993,6583400,2.069992
31/03/2023,211.75,214.800003,211.389999,212.429993,212.429993,5147500,0.679993
03/04/2023,212.800003,218.570007,212.529999,215.389999,215.389999,6085900,2.589996
04/04/2023,212,213.990005,209.119995,213.899994,213.899994,6192300,1.899994
05/04/2023,212.229996,214.229996,208.669998,210,210,4138400,-2.229996
06/04/2023,210,212.369995,208.220001,211.369995,211.369995,5618100,1.369995
10/04/2023,211,214.100006,209.729996,210.779999,210.779999,3729300,-0.220001
11/04/2023,213.289993,214.5,211.860001,212.320007,212.320007,5277500,-0.969986
12/04/2023,213.660004,214.300003,210.130005,212.339996,212.339996,4600300,-1.320008
13/04/2023,213,213.679993,211.5,213.589996,213.589996,4501600,0.589996
14/04/2023,202.589996,204.279999,198.149994,201.710007,201.710007,19066500,-0.879989
17/04/2023,202,206.100006,200.800003,205.029999,205.029999,6306800,3.029999
18/04/2023,205.5,208.940002,203.720001,208.369995,208.369995,7445800,2.869995
19/04/2023,207.119995,210.869995,206.940002,208.710007,208.710007,4757400,1.590012
20/04/2023,207.419998,209.880005,206.080002,207.229996,207.229996,3322900,-0.190002
21/04/2023,208,208.380005,204.179993,205.149994,205.149994,3432300,-2.850006
24/04/2023,204.869995,206.5,203.25,205.770004,205.770004,3058900,0.900009
25/04/2023,204.539993,204.940002,201.119995,202.190002,202.190002,4699500,-2.349991
26/04/2023,208.25,211.699997,202.679993,203.029999,203.029999,9137200,-5.220001
27/04/2023,204.649994,209.089996,203.529999,206.039993,206.039993,5105200,1.389999
28/04/2023,204.509995,206.949997,202.899994,206.779999,206.779999,3709300,2.270004
01/05/2023,206.25,208.520004,203.619995,203.869995,203.869995,3776800,-2.380005
02/05/2023,203,204.190002,200.089996,203.25,203.25,3970800,0.25
03/05/2023,204.360001,206.100006,200.550003,200.929993,200.929993,4537900,-3.430008
04/05/2023,200.649994,201.25,193.270004,197.050003,197.050003,6934100,-3.599991
05/05/2023,198.089996,199.039993,196.759995,198.339996,198.339996,3870100,0.25
08/05/2023,199.160004,199.660004,196.399994,197.259995,197.259995,4677400,-1.900009
09/05/2023,201.210007,204.610001,198.779999,201.880005,201.880005,9329500,0.669998
10/05/2023,203.139999,203.199997,198.25,200.839996,200.839996,3923700,-2.300003
11/05/2023,199.389999,202.550003,198.070007,201.839996,201.839996,3322000,2.449997
12/05/2023,201.839996,203.110001,198.820007,200.699997,200.699997,3168000,-1.139999
15/05/2023,200.009995,203.320007,198.649994,202.770004,202.770004,2842700,2.760009
16/05/2023,201.820007,202.360001,199.940002,200.869995,200.869995,3012100,-0.950012
17/05/2023,202.710007,208.580002,202.710007,206.869995,206.869995,6641900,4.159988
18/05/2023,206.449997,208.169998,204.009995,207.240005,207.240005,4349700,0.790008
19/05/2023,208.110001,208.369995,204.630005,205.490005,205.490005,3891500,-2.619996
22/05/2023,205.509995,206.979996,203.899994,205.910004,205.910004,3094300,0.400009
23/05/2023,204.580002,207.490005,202.449997,202.600006,202.600006,4011100,-1.979996
24/05/2023,201.320007,201.320007,197.5,199.270004,199.270004,4371600,-2.050003
25/05/2023,199.990005,201.75,196.600006,200.869995,200.869995,3909200,0.87999
26/05/2023,201.600006,204.800003,201.179993,203.630005,203.630005,3820300,2.029999
30/05/2023,204.089996,207.800003,203.309998,204.690002,204.690002,3978200,0.600006
31/05/2023,203.5,206.190002,200.910004,205.699997,205.699997,5461600,2.199997
01/06/2023,206.460007,210.229996,206,207.960007,207.960007,5125100,1.5
02/06/2023,210,215.240005,210,213.320007,213.320007,7482300,3.320007
05/06/2023,213.279999,213.279999,207.5,208.779999,208.779999,4996800,-4.5
06/06/2023,208.369995,211.679993,200.610001,207.289993,207.289993,10957200,-1.080002
07/06/2023,207.990005,212.380005,207.199997,211.929993,211.929993,6462400,3.939988
08/06/2023,212.339996,220,212.050003,218.110001,218.110001,9359300,5.770005
09/06/2023,217.990005,219.160004,215.690002,217.309998,217.309998,5297800,-0.680007
12/06/2023,217.160004,223.910004,216.630005,221.559998,221.559998,8065400,4.399994
13/06/2023,222.350006,223.119995,219.350006,220.380005,220.380005,5881000,-1.970001
14/06/2023,221.399994,221.589996,216.029999,216.899994,216.899994,5629100,-4.5
15/06/2023,217.169998,220.610001,215.309998,219.410004,219.410004,5001400,2.240006
16/06/2023,220.720001,223.869995,218.979996,219.990005,219.990005,7799500,-0.729996
20/06/2023,218.889999,219.289993,211.880005,212.369995,212.369995,8226400,-6.520004
21/06/2023,211.830002,212.990005,209.389999,212.080002,212.080002,5356400,0.25
22/06/2023,205.610001,208.5,203.649994,205.610001,205.610001,7057500,0
23/06/2023,204.020004,205.610001,202.550003,205.410004,205.410004,6334300,1.39
26/06/2023,206.110001,207.089996,204.660004,205.580002,205.580002,3444900,-0.529999
27/06/2023,206.149994,209.660004,206.080002,209.429993,209.429993,4465500,3.279999
28/06/2023,211.210007,212.190002,209.449997,210.720001,210.720001,4276100,-0.490006
29/06/2023,211.119995,213.220001,210.229996,211.830002,211.830002,3443600,0.710007
30/06/2023,213.139999,213.240005,209.380005,211.160004,211.160004,5484100,-1.979995
03/07/2023,210.5,212.169998,210.240005,210.919998,210.919998,2143000,0.419998
05/07/2023,210,214.279999,207.889999,213.309998,213.309998,4921000,3.309998
06/07/2023,212.479996,213.610001,209.580002,212.619995,212.619995,4674700,0.139999
07/07/2023,212.940002,215.660004,211.830002,212.100006,212.100006,4891200,-0.839996
10/07/2023,211.839996,213.589996,211.220001,213.309998,213.309998,3497100,1.470002
11/07/2023,212.919998,218.979996,211.350006,218.759995,218.759995,7458400,5.839997
12/07/2023,219.509995,221.559998,216.919998,217.110001,217.110001,5123200,-2.399994
13/07/2023,218.130005,218.899994,216.300003,216.850006,216.850006,4291700,-1.279999
14/07/2023,217,217.020004,212.809998,213.119995,213.119995,4287900,-3.880005
17/07/2023,212.5,214.229996,211.740005,211.869995,211.869995,3621500,-0.630005
18/07/2023,211,213.039993,209.570007,211.570007,211.570007,5895800,0.570007
