Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,243.5,248.380005,242.649994,248.149994,243.204788,3068100,4.649994
14/02/2023,247.009995,247.309998,241.649994,244.360001,239.490326,2512900,-2.649994
15/02/2023,244.199997,248.770004,243.229996,248.699997,243.743835,2398200,4.5
16/02/2023,246.5,248.529999,244.520004,246.520004,241.607285,1934900,0.020004
17/02/2023,247.860001,250.860001,245.630005,247.789993,242.851974,3759300,-0.070008
21/02/2023,244.5,248,239.75,240.710007,235.913086,3105900,-3.789993
22/02/2023,241.190002,242.229996,236.419998,237.889999,233.149277,3145200,-3.300003
23/02/2023,240.669998,240.830002,235.600006,237.949997,233.208069,3219000,-2.720001
24/02/2023,235.229996,236.690002,233.020004,236.169998,231.463531,2105500,0.940002
27/02/2023,239.100006,241.25,238.720001,239.979996,235.197617,1720900,0.87999
28/02/2023,240.940002,241.100006,238.710007,239.550003,234.776199,2647700,-1.389999
01/03/2023,242.009995,249.699997,241.570007,248.669998,243.714432,4117700,6.660003
02/03/2023,246.509995,252.490005,246.130005,252.179993,247.154495,2676500,5.669998
03/03/2023,252.389999,255.399994,249.910004,255.309998,250.222122,2314700,2.919999
06/03/2023,255.649994,255.699997,251.580002,253.979996,248.91861,2317100,-1.669998
07/03/2023,254.050003,254.75,245.949997,246.139999,241.234863,3018400,-7.910004
08/03/2023,247.990005,251.110001,246.75,248.720001,243.763443,2068600,0.729996
09/03/2023,248.949997,250.130005,240.610001,240.960007,236.158081,2518800,-7.98999
10/03/2023,236.309998,238.130005,225.800003,227.009995,222.486069,5767500,-9.300003
13/03/2023,222.580002,228.330002,221.539993,224.699997,220.222092,4885100,2.119995
14/03/2023,228.990005,229.589996,222.199997,225.669998,221.172775,3754900,-3.320007
15/03/2023,219.399994,221.179993,212.570007,217.259995,212.930374,5471700,-2.139999
16/03/2023,215.669998,219.809998,213.320007,218.710007,214.351517,3555000,3.040009
17/03/2023,217.399994,217.399994,211.429993,215.009995,210.725204,7203000,-2.389999
20/03/2023,217.350006,221.869995,216.479996,220.309998,215.919601,3464200,2.959992
21/03/2023,224.059998,226,223.610001,224.919998,220.437744,3074600,0.86
22/03/2023,225.169998,226.589996,219.860001,219.949997,215.566772,2930200,-5.220001
23/03/2023,220.509995,225.300003,217.600006,219.440002,215.06694,2957400,-1.069993
24/03/2023,216.850006,217.429993,213.139999,217.009995,212.685349,2976800,0.159989
27/03/2023,214.929993,218.960007,213.919998,218,213.655624,3209500,3.070007
28/03/2023,218.149994,220.559998,217.710007,220.160004,215.772598,1802000,2.01001
29/03/2023,222.740005,223.220001,221.5,223,218.556,1857300,0.259995
30/03/2023,225.050003,226.339996,223.990005,224.539993,220.065292,1921100,-0.51001
31/03/2023,226.380005,229.059998,224.899994,228.839996,224.279602,2746700,2.459991
03/04/2023,230.009995,233.850006,228.860001,229.869995,225.289078,2242500,-0.14
04/04/2023,228.899994,229.490005,216.25,217.449997,213.116592,4282100,-11.449997
05/04/2023,216.199997,217.880005,211.550003,213.529999,209.274719,4265300,-2.669998
06/04/2023,212.669998,213,208.940002,209.169998,205.001602,4180100,-3.5
10/04/2023,210.220001,216.089996,209.320007,215.529999,211.234863,3839000,5.309998
11/04/2023,216.169998,222.899994,216.169998,220.600006,216.203812,3882000,4.430008
12/04/2023,222.149994,223.220001,219.889999,220.5,216.105804,2385100,-1.649994
13/04/2023,219.940002,222.179993,216.660004,221.669998,217.252518,2909100,1.729996
14/04/2023,222.990005,225.830002,221.440002,223.679993,219.222427,2246900,0.689988
17/04/2023,225.009995,226.919998,224.300003,225.240005,220.751358,1751800,0.23001
18/04/2023,225.559998,227.5,224.059998,225.199997,220.712158,2567100,-0.360001
19/04/2023,224.800003,225.149994,222.410004,224.649994,220.173096,2078400,-0.150009
20/04/2023,222.419998,224.220001,220.929993,222.270004,217.840546,2826800,-0.149994
21/04/2023,220.669998,220.990005,217.5,220.270004,217.052231,2712500,-0.399994
24/04/2023,220.529999,223.690002,220.529999,223.429993,220.166061,2790700,2.899994
25/04/2023,222.360001,223.229996,218.270004,218.630005,215.436188,2505600,-3.729996
26/04/2023,217.729996,220.389999,216.119995,216.190002,213.03183,3254700,-1.539994
27/04/2023,210.479996,216.080002,204.039993,214.330002,211.199005,7711100,3.850006
28/04/2023,213.240005,220.559998,213,218.800003,215.603699,4668800,5.559998
01/05/2023,219.339996,221.960007,216.529999,217.270004,214.096054,2876400,-2.069992
02/05/2023,217.110001,217.110001,210.589996,215.149994,212.007004,2858000,-1.960007
03/05/2023,215.639999,219.169998,214.860001,215.639999,212.489868,2635100,0
04/05/2023,216.050003,216.929993,209.330002,210.380005,207.306702,3211000,-5.669998
05/05/2023,213.589996,215.679993,212.399994,215.089996,211.947891,2716300,1.5
08/05/2023,216.440002,218.110001,213.630005,214.789993,211.652267,2414100,-1.650009
09/05/2023,213.740005,215.389999,211.949997,213.490005,210.371262,4111900,-0.25
10/05/2023,215.429993,215.990005,210.190002,213.169998,210.055939,2446100,-2.259995
11/05/2023,209,210.279999,208.419998,210.029999,206.961807,3263300,1.029999
12/05/2023,211.710007,212.550003,207.929993,209.539993,206.478973,2172300,-2.170014
15/05/2023,210.309998,213.309998,209.149994,211.289993,208.203415,1925600,0.979995
16/05/2023,210.050003,210.270004,207.050003,207.199997,204.173141,2771500,-2.850006
17/05/2023,209.279999,213.839996,208.649994,212.100006,209.001587,2897400,2.820007
18/05/2023,211,215.660004,210.229996,214.720001,211.583298,2643600,3.720001
19/05/2023,219.460007,219.889999,212.949997,214.779999,211.642426,4401300,-4.680008
22/05/2023,214.25,217.160004,211.889999,214.259995,211.13002,2540600,0.009995
23/05/2023,213.199997,215.259995,211.350006,212.710007,209.602676,2298300,-0.48999
24/05/2023,211.809998,212.479996,209.220001,209.699997,206.636627,2964000,-2.110001
