Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,168.279999,171.160004,166.949997,171.080002,171.080002,8820300,2.800003
14/02/2023,168.220001,172.789993,167.850006,169.960007,169.960007,8393100,1.740006
15/02/2023,168.850006,171.610001,168.240005,171.100006,171.100006,4997000,2.25
16/02/2023,168.990005,170.369995,167.960007,168.110001,168.110001,7483500,-0.880004
17/02/2023,165.029999,167.110001,162.740005,165.169998,165.169998,8084500,0.139999
21/02/2023,163.740005,164.509995,161.449997,161.619995,161.619995,5210800,-2.12001
22/02/2023,163.110001,165,162.110001,163.360001,163.360001,4343700,0.25
23/02/2023,165.289993,165.470001,161.570007,164.119995,164.119995,4679400,-1.169998
24/02/2023,160.589996,162.389999,159.660004,162.199997,162.199997,6569900,1.610001
27/02/2023,163.839996,164.770004,162.220001,163.139999,163.139999,6891200,-0.699997
28/02/2023,162.529999,164.449997,161.529999,163.610001,163.610001,6912600,1.080002
01/03/2023,162.990005,167.979996,162.979996,167.350006,167.350006,15841200,4.360001
02/03/2023,193.119995,193.910004,185.199997,186.589996,186.589996,37712500,-6.529999
03/03/2023,188.070007,189.770004,184.289993,186.429993,186.429993,12087200,-1.640014
06/03/2023,185.070007,189,183.630005,183.800003,183.800003,10770300,-1.270004
07/03/2023,184.460007,186.160004,183.029999,183.320007,183.320007,9024300,-1.14
08/03/2023,183.300003,184.899994,181.800003,182.949997,182.949997,6749100,-0.350006
09/03/2023,183.100006,183.839996,178.539993,178.720001,178.720001,7102400,-4.380005
10/03/2023,178.5,179.360001,171.710007,173.179993,173.179993,14109000,-5.320007
13/03/2023,171,177.100006,170,175.509995,175.509995,9154800,4.509995
14/03/2023,180,185.309998,179.110001,182.889999,182.889999,10138100,2.889999
15/03/2023,179.160004,183.860001,178.210007,182.910004,182.910004,7716900,3.75
16/03/2023,183.300003,187.649994,182.979996,187.300003,187.300003,8369500,4
17/03/2023,186.039993,187.660004,184.179993,184.850006,184.850006,10493300,-1.189987
20/03/2023,184.210007,185.520004,182.649994,185.25,185.25,5513200,1.039993
21/03/2023,185.869995,189.279999,184.889999,188.679993,188.679993,6982000,2.809998
22/03/2023,190,191.440002,186.410004,186.509995,186.509995,6575600,-3.490005
23/03/2023,187.399994,190.559998,185.580002,187.440002,187.440002,8685000,0.040008
24/03/2023,186.5,190.320007,186.089996,190.059998,190.059998,6102700,3.559998
27/03/2023,188.919998,192.110001,188.910004,191.259995,191.259995,7776500,2.339997
28/03/2023,191.179993,192.830002,191.179993,192.300003,192.300003,4899000,1.12001
29/03/2023,193.139999,197.429993,192.880005,196.639999,196.639999,8085200,3.5
30/03/2023,197.770004,198.169998,195.490005,196.600006,196.600006,6932500,-1.169998
31/03/2023,197.490005,200,196.990005,199.779999,199.779999,6634300,2.289994
03/04/2023,198.220001,198.929993,195.529999,196.490005,196.490005,5340800,-1.729996
04/04/2023,198.149994,198.699997,196.619995,197.199997,197.199997,4659100,-0.949997
05/04/2023,198,198.289993,193.729996,195.309998,195.309998,3953700,-2.690002
06/04/2023,194,194.070007,189.600006,192.550003,192.550003,6304700,-1.449997
10/04/2023,190.589996,192.550003,189.279999,191.490005,191.490005,5263800,0.900009
11/04/2023,189.059998,190.460007,187.309998,188.889999,188.889999,4907700,-0.169999
12/04/2023,190.300003,191.889999,189.529999,190.320007,190.320007,5033400,0.020004
13/04/2023,190.449997,194.380005,190.449997,194.020004,194.020004,4716400,3.570007
14/04/2023,191.850006,195.169998,191.190002,194.649994,194.649994,5073800,2.799988
17/04/2023,195.160004,197.520004,195.029999,197.080002,197.080002,5413500,1.919998
18/04/2023,199.080002,200.119995,197.059998,198.5,198.5,4679000,-0.580002
19/04/2023,196.300003,199.070007,195.729996,198.919998,198.919998,3665100,2.619995
20/04/2023,197.179993,200.080002,196.820007,197.509995,197.509995,3620000,0.330002
21/04/2023,197.029999,199.119995,196.470001,199.029999,199.029999,4860100,2
24/04/2023,198.449997,198.770004,194.059998,194.919998,194.919998,4449700,-3.529999
25/04/2023,193.970001,194.119995,190.630005,190.669998,190.669998,5010000,-3.300003
26/04/2023,192.619995,194.369995,190.570007,191.520004,191.520004,4007600,-1.099991
27/04/2023,194.169998,197.509995,193.270004,195.940002,195.940002,4794400,1.770004
28/04/2023,196.149994,198.649994,195.270004,198.369995,198.369995,4094600,2.220001
01/05/2023,197.759995,199.050003,197.119995,197.789993,197.789993,2882900,0.029998
02/05/2023,198.020004,198.410004,192.929993,193.839996,193.839996,6051000,-4.180008
03/05/2023,194.210007,195.789993,192.559998,192.610001,192.610001,3779900,-1.600006
04/05/2023,191.899994,194.559998,190.759995,192.380005,192.380005,4386500,0.480011
05/05/2023,193.949997,198.110001,193.25,197.589996,197.589996,4282800,3.639999
08/05/2023,198.720001,200.5,196.080002,197.899994,197.899994,4169400,-0.820007
09/05/2023,196.779999,203.800003,196.779999,201.179993,201.179993,6996800,4.399994
10/05/2023,204.940002,206.279999,203.039993,204.850006,204.850006,6535600,-0.089996
11/05/2023,202.910004,203.800003,198.550003,203.470001,203.470001,5366300,0.559997
12/05/2023,203.429993,203.960007,200.130005,201.809998,201.809998,4733000,-1.619995
15/05/2023,203.75,205.399994,202.479996,203.330002,203.330002,4518200,-0.419998
16/05/2023,201.929993,205.669998,201.75,204.559998,204.559998,4423200,2.630005
17/05/2023,206.5,209.490005,204.800003,209.380005,209.380005,5772200,2.880005
18/05/2023,209.5,213.880005,209.330002,213.320007,213.320007,5165500,3.820007
19/05/2023,212.960007,213.240005,209.929993,210.360001,210.360001,6090800,-2.600006
22/05/2023,209.169998,212.820007,209.039993,210.259995,210.259995,3890800,1.089997
23/05/2023,207.740005,209.639999,206.470001,206.639999,206.639999,4256800,-1.100006
24/05/2023,206.039993,210.210007,205.419998,209.059998,209.059998,4894000,3.020005
25/05/2023,212.020004,212.330002,208.440002,209.910004,209.910004,6496700,-2.11
26/05/2023,212.800003,216.149994,212.550003,215.440002,215.440002,6933300,2.639999
30/05/2023,219.270004,222.139999,215.729996,218.869995,218.869995,10421000,-0.400009
31/05/2023,219.550003,225,217.059998,223.380005,223.380005,19624000,3.830002
01/06/2023,208.220001,215.360001,206.059998,212.899994,212.899994,20907400,4.679993
02/06/2023,212.899994,216.139999,210.429993,213.029999,213.029999,11023500,0.130005
05/06/2023,210.470001,212.320007,207.059998,209.860001,209.860001,7804400,-0.61
06/06/2023,208.550003,213.399994,208.369995,212.850006,212.850006,6796000,4.300003
07/06/2023,214.880005,216.660004,204.779999,205.729996,205.729996,9323900,-9.150009
08/06/2023,205.380005,210.380005,204.850006,209.529999,209.529999,5548600,4.149994
09/06/2023,210.690002,218.660004,210.690002,215.309998,215.309998,7676700,4.619996
12/06/2023,216.149994,220.389999,212.139999,213.690002,213.690002,11568300,-2.459992
13/06/2023,215.5,216.229996,207.919998,208.979996,208.979996,11698900,-6.520004
14/06/2023,207.699997,211.710007,205.020004,209.399994,209.399994,8963400,1.699997
15/06/2023,207.949997,213.330002,207.369995,211.919998,211.919998,7905400,3.970001
16/06/2023,213.539993,213.649994,210.600006,211.759995,211.759995,13671200,-1.779998
20/06/2023,208.649994,217.050003,208.610001,216.970001,216.970001,9522900,8.320007
21/06/2023,216.520004,217.800003,208.070007,209.589996,209.589996,7971600,-6.930008
22/06/2023,209.630005,213.960007,209.089996,213.289993,213.289993,5689800,3.659988
23/06/2023,210.5,211,208.070007,210.089996,210.089996,14017200,-0.410004
26/06/2023,209.020004,211.75,207.350006,207.360001,207.360001,4771500,-1.660003
27/06/2023,208.139999,210.479996,207.520004,208.820007,208.820007,4014800,0.680008
28/06/2023,208.410004,212.199997,207.600006,212.169998,212.169998,4775900,3.759994
29/06/2023,211.899994,212.649994,209.720001,210.429993,210.429993,3838300,-1.470001
30/06/2023,211.860001,213.850006,210.960007,211.259995,211.259995,5983800,-0.600006
03/07/2023,210.570007,211.960007,209.919998,211.649994,211.649994,2400000,1.079987
05/07/2023,210.490005,214.619995,210.089996,213.820007,213.820007,5069300,3.330002
06/07/2023,211.199997,212.5,207.830002,210.139999,210.139999,4250900,-1.059998
07/07/2023,209.770004,212.110001,209.279999,209.589996,209.589996,3020800,-0.180008
10/07/2023,209,212.869995,208.320007,212.809998,212.809998,3820100,3.809998
11/07/2023,222.059998,222.350006,217.240005,221.169998,221.169998,10030500,-0.89
12/07/2023,221.899994,228.089996,221.610001,227.279999,227.279999,8923500,5.380005
13/07/2023,228.259995,230.960007,227.600006,230.369995,230.369995,5800300,2.11
14/07/2023,229.699997,232.199997,228.149994,229.330002,229.330002,4274700,-0.369995
17/07/2023,229.240005,230.279999,227.809998,228,228,3557900,-1.240005
18/07/2023,227.050003,229.619995,225.470001,227.630005,227.630005,5094200,0.580002
19/07/2023,233.979996,238.220001,231.229996,234.369995,234.369995,8516300,0.389999
20/07/2023,231.100006,233.5,227.320007,228.160004,228.160004,5303000,-2.940002
21/07/2023,230,230.809998,227.289993,228.059998,228.059998,3527800,-1.940002
24/07/2023,227.259995,227.589996,223.539993,225.660004,225.660004,5363200,-1.599991
25/07/2023,225.880005,227.520004,225.190002,226.029999,226.029999,3203700,0.149994
26/07/2023,224.460007,227.509995,223.119995,225.580002,225.580002,4856700,1.119995
27/07/2023,228.039993,230.139999,224.009995,225.149994,225.149994,4299600,-2.889999
28/07/2023,226,227.309998,223.979996,225.600006,225.600006,4238700,-0.399994
31/07/2023,222.350006,225.380005,221.75,225.009995,225.009995,5571900,2.659989
01/08/2023,223.889999,224.809998,221.630005,224.270004,224.270004,4212600,0.380005
02/08/2023,221.979996,222.850006,218.800003,220.5,220.5,5127000,-1.479996
03/08/2023,216.199997,218.210007,214.600006,215.559998,215.559998,5515200,-0.639999
04/08/2023,216.410004,217.25,213.070007,214.589996,214.589996,4799800,-1.820008
07/08/2023,215.309998,216.889999,214.369995,216.059998,216.059998,3615200,0.75
08/08/2023,213.550003,214.190002,211.139999,211.580002,211.580002,4843800,-1.970001
09/08/2023,211.649994,211.660004,204.910004,205.860001,205.860001,7847500,-5.789993
10/08/2023,208.179993,210.339996,206.440002,208.25,208.25,4004700,0.070007
11/08/2023,206.130005,209.5,205.5,208.699997,208.699997,2930000,2.569992
14/08/2023,207.899994,212.100006,207.119995,212.059998,212.059998,3304700,4.160004
15/08/2023,210.330002,212.369995,207.839996,208.779999,208.779999,4076400,-1.550003
16/08/2023,208,209.690002,206.949997,206.990005,206.990005,2759600,-1.009995
17/08/2023,206.570007,206.929993,203.389999,203.839996,203.839996,4062700,-2.730011
18/08/2023,200.970001,205.5,200.199997,204.830002,204.830002,4266200,3.860001
21/08/2023,206,209.419998,204.220001,209.029999,209.029999,4023300,3.029999
22/08/2023,209.850006,210.110001,206,206.759995,206.759995,3153600,-3.090011
23/08/2023,208,210.990005,207.139999,209.130005,209.130005,3833200,1.130005
24/08/2023,211.009995,211.990005,205.440002,205.509995,205.509995,3960300,-5.5
25/08/2023,205.509995,210.789993,205.479996,209.470001,209.470001,3068800,3.960006
28/08/2023,210.449997,213.479996,209.639999,211.720001,211.720001,4086900,1.270004
29/08/2023,206.75,212.460007,206.520004,211.960007,211.960007,5850400,5.210007
30/08/2023,211.770004,215.589996,209.429993,215.039993,215.039993,9946000,3.269989
31/08/2023,228,228.789993,221.199997,221.460007,221.460007,19268400,-6.539993
01/09/2023,223.5,223.970001,220.520004,221.529999,221.529999,5597100,-1.970001
05/09/2023,219.330002,220.320007,217.610001,218.690002,218.690002,5807300,-0.64
06/09/2023,219.470001,222.210007,219.020004,221.619995,221.619995,5066700,2.149994
07/09/2023,219.770004,222.729996,219.309998,222.529999,222.529999,4201900,2.759995
08/09/2023,223.320007,225.470001,222.860001,224.759995,224.759995,4578900,1.439988
11/09/2023,226.009995,226.830002,222.789993,225.309998,225.309998,4418000,-0.699997
12/09/2023,223.449997,224.789993,221.259995,221.660004,221.660004,4002300,-1.789993
13/09/2023,221.179993,221.860001,218.300003,218.800003,218.800003,4173600,-2.37999
14/09/2023,219.419998,220.570007,218.339996,218.779999,218.779999,4297200,-0.639999
15/09/2023,218.869995,219.190002,213.460007,214.610001,214.610001,9930200,-4.259994
18/09/2023,214.559998,216.380005,214.179993,215,215,4279400,0.440002
19/09/2023,214.389999,216.059998,212.259995,215.699997,215.699997,4001500,1.309998
20/09/2023,215.199997,217.179993,212.919998,213.029999,213.029999,2990900,-2.169998
21/09/2023,209.800003,211.889999,208.070007,208.610001,208.610001,4957300,-1.190002
22/09/2023,209.309998,209.720001,205.880005,206.429993,206.429993,3848300,-2.880005
25/09/2023,205,206.529999,203.869995,206.339996,206.339996,4067300,1.339996
26/09/2023,205.470001,206.440002,201.279999,202.490005,202.490005,5404500,-2.979996
27/09/2023,202.990005,203.929993,200.940002,202.729996,202.729996,4123800,-0.260009
28/09/2023,200.759995,205.149994,199.550003,203.199997,203.199997,4344000,2.440002
29/09/2023,205.080002,207.789993,202.100006,202.779999,202.779999,4404700,-2.300003
02/10/2023,200.800003,205.110001,200.520004,203.710007,203.710007,3745700,2.910004
03/10/2023,202.75,203.570007,197.419998,199.830002,199.830002,4622400,-2.919998
04/10/2023,200.880005,202.740005,199.509995,201.869995,201.869995,3656400,0.98999
05/10/2023,202,202.149994,198.490005,202.009995,202.009995,3592600,0.009995
06/10/2023,200.479996,208.270004,199.889999,207.360001,207.360001,4988200,6.880005
09/10/2023,204.889999,208.279999,204.690002,207.220001,207.220001,2781100,2.330002
10/10/2023,207.639999,209.220001,206.259995,206.880005,206.880005,4503500,-0.759994
