Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,200.190002,203.740005,199.75,203.369995,198.976456,2973200,3.179993
14/02/2023,203.089996,203.100006,198.669998,201,196.657654,2999400,-2.089996
15/02/2023,199.800003,201.740005,198.860001,201.710007,197.35231,2532200,1.910004
16/02/2023,198.770004,201.539993,197.979996,199.360001,195.05307,2754900,0.589997
17/02/2023,199.259995,201.979996,198.660004,201.419998,197.068573,2850400,2.160003
21/02/2023,201.570007,201.649994,196.449997,196.759995,192.509247,2830900,-4.810012
22/02/2023,197.080002,197.490005,194.619995,195.490005,191.266693,2963300,-1.589997
23/02/2023,196.039993,196.039993,192.580002,195.020004,191.81749,2446600,-1.019989
24/02/2023,193.889999,193.889999,190.860001,192.039993,188.886429,3305500,-1.850006
27/02/2023,194.419998,195,191.740005,192.449997,189.289688,3363100,-1.970001
28/02/2023,191.509995,192.360001,189.630005,191.479996,188.335617,3110100,-0.029999
01/03/2023,190.630005,194.350006,190.570007,192.880005,189.712646,3231700,2.25
02/03/2023,191.589996,195.119995,191.5,194.449997,191.256851,4254300,2.860001
03/03/2023,195.440002,197.539993,194.220001,196.820007,193.587936,3116500,1.380005
06/03/2023,197.190002,199.309998,196.649994,197.039993,193.804321,2721800,-0.150009
07/03/2023,197.419998,198.199997,194.75,195.619995,192.407639,2781000,-1.800003
08/03/2023,196.279999,196.649994,194.130005,195.570007,192.358459,2064900,-0.709992
09/03/2023,196.880005,196.949997,192.350006,192.880005,189.712646,3188600,-4
10/03/2023,192.880005,196.679993,191.889999,193.330002,190.155258,3667100,0.449997
13/03/2023,193,195.229996,192.169998,193.100006,189.929031,3223600,0.100006
14/03/2023,196.059998,196.169998,190.169998,192.970001,189.801163,4853200,-3.089997
15/03/2023,190.070007,191.009995,184.759995,188.119995,185.030777,3926300,-1.950012
16/03/2023,187.369995,189.770004,186.300003,189.139999,186.034058,3852200,1.770004
17/03/2023,187.809998,188.009995,184.229996,184.639999,181.607956,7383700,-3.169999
20/03/2023,185.960007,190.240005,185.509995,189.880005,186.761917,2840800,3.919998
21/03/2023,191.070007,192.139999,189.149994,191.160004,188.020889,3133900,0.089997
22/03/2023,191.720001,192,187.080002,187.160004,184.086578,2348500,-4.559997
23/03/2023,186.860001,189.419998,185.550003,186.919998,183.85051,2360100,0.059997
24/03/2023,186.389999,188.220001,184.600006,188.160004,185.070145,2332300,1.770005
27/03/2023,188.630005,189.589996,187.429993,187.990005,184.902939,2133100,-0.64
28/03/2023,187.75,189.610001,187.399994,187.919998,184.834076,2069700,0.169998
29/03/2023,189.660004,189.710007,187.770004,189.070007,185.965195,2684200,-0.589997
30/03/2023,189.610001,190.440002,187.979996,189.119995,186.014374,1999400,-0.490006
31/03/2023,190.119995,191.380005,189.330002,191.119995,187.981522,2702600,1
03/04/2023,190.570007,193.899994,189.960007,193.279999,190.106064,2873600,2.709992
04/04/2023,193.119995,193.229996,189.679993,190.940002,187.804489,2499100,-2.179993
05/04/2023,190.289993,191.009995,189.279999,189.429993,186.319275,3029800,-0.86
06/04/2023,189.610001,192.110001,189.009995,190.460007,187.332382,2782300,0.850006
10/04/2023,190.740005,192.600006,190.320007,191.679993,188.532349,2540200,0.939988
11/04/2023,192.880005,193.160004,191.820007,192.190002,189.033966,2435600,-0.690003
12/04/2023,193.460007,194.869995,192.330002,193.229996,190.056885,3656800,-0.230011
13/04/2023,193.25,196.419998,192.600006,195.899994,192.683044,3360600,2.649994
14/04/2023,195.630005,197.729996,195.25,196.550003,193.322388,1963900,0.919998
17/04/2023,197.179993,198.070007,196.740005,197.860001,194.610855,1682700,0.680008
18/04/2023,198.720001,199.470001,196.220001,196.929993,193.696121,2400000,-1.790008
19/04/2023,198.25,198.660004,197.220001,197.809998,194.561676,1864100,-0.440002
20/04/2023,197.5,197.759995,196,196.75,193.519089,1947100,-0.75
21/04/2023,197.089996,197.350006,195.399994,196.080002,192.860092,1970700,-1.009994
24/04/2023,197.210007,198.080002,196.270004,196.779999,193.548584,1605600,-0.430008
25/04/2023,198.520004,198.910004,195.860001,195.960007,192.742065,2244300,-2.559997
26/04/2023,193.880005,194.470001,190.179993,190.899994,187.765152,3579400,-2.980011
27/04/2023,195.940002,198.850006,193.570007,198.610001,195.348541,3862400,2.669999
28/04/2023,199,200.809998,198.490005,199.839996,196.558334,2863100,0.839996
01/05/2023,200,202.160004,199.960007,200.479996,197.18782,2224900,0.479996
02/05/2023,199.660004,199.660004,196.369995,198.259995,195.004272,2588100,-1.400009
03/05/2023,199.850006,200.610001,197.710007,197.960007,194.709213,2775300,-1.889999
04/05/2023,198.220001,199,194.929993,196.220001,192.997787,2304800,-2
05/05/2023,197.339996,198.589996,196.779999,198.419998,195.161667,2088100,1.080002
08/05/2023,199.75,199.979996,195.970001,196.949997,193.715805,1494500,-2.800003
09/05/2023,195.960007,198.289993,194.960007,197.130005,193.892838,2237700,1.169998
10/05/2023,197.490005,198.740005,194.320007,197.339996,194.099396,2158300,-0.150009
11/05/2023,195.929993,196.289993,193.199997,193.979996,191.795624,2870800,-1.949997
12/05/2023,194.940002,195.350006,192.699997,193.619995,191.439682,2102000,-1.320007
15/05/2023,193.5,195.479996,192.649994,194.309998,192.121902,1565800,0.809998
16/05/2023,193.960007,193.960007,191.300003,191.610001,189.452332,2050700,-2.350006
17/05/2023,193.029999,196.429993,192.539993,196.020004,193.812668,2421000,2.990005
18/05/2023,195.449997,198.389999,194.889999,198.25,196.017548,2438000,2.800003
19/05/2023,199.5,200.259995,197.059998,197.350006,195.127686,2669500,-2.149994
22/05/2023,197.050003,198.410004,195.220001,196.929993,194.712402,1763700,-0.12001
23/05/2023,197.199997,197.570007,194.889999,194.970001,192.774475,2158800,-2.229996
24/05/2023,194.929993,195.199997,190.889999,191.860001,189.699509,1744500,-3.069992
25/05/2023,191.869995,192.550003,189.990005,192.270004,190.104889,2421600,0.400009
26/05/2023,192.779999,194.320007,192.149994,193.75,191.568222,1972000,0.970001
30/05/2023,193.600006,194.779999,190.419998,194.550003,192.359207,2256600,0.949997
31/05/2023,193.850006,194.039993,190.360001,191.600006,189.442429,3655800,-2.25
01/06/2023,191.850006,194.300003,190.470001,193.860001,191.676987,1908800,2.009995
02/06/2023,196.449997,199.559998,195.889999,198.850006,196.610794,2740700,2.400009
05/06/2023,198.720001,199.119995,196.050003,197.179993,194.959579,1662700,-1.540008
06/06/2023,197.559998,198.100006,195.360001,196.339996,194.129044,2294500,-1.220002
07/06/2023,196.960007,198.699997,194.229996,198.389999,196.15596,2555400,1.429992
08/06/2023,197.869995,198.75,197.059998,198.149994,195.918671,1626600,0.279999
09/06/2023,197.630005,198.759995,196.089996,197.889999,195.661606,1760100,0.259994
12/06/2023,198.210007,198.949997,196.630005,198.5,196.264725,1680700,0.289993
13/06/2023,198.5,201.279999,197.759995,201.110001,198.845337,1987900,2.610001
14/06/2023,202,202.809998,198.660004,200.520004,198.261993,2656800,-1.479996
15/06/2023,201.25,204.100006,200.429993,203.729996,201.435837,2467700,2.479996
16/06/2023,205,206.020004,202.460007,202.970001,200.684387,5005800,-2.029999
20/06/2023,202.649994,202.970001,199.029999,200.399994,198.143341,2085200,-2.25
21/06/2023,199.289993,202.779999,198.110001,201.800003,199.527573,2553300,2.51001
22/06/2023,201.960007,202.279999,199.630005,200.649994,198.390518,1616900,-1.310013
23/06/2023,199.130005,200.660004,198.649994,200.089996,197.836823,3321300,0.959991
26/06/2023,200.300003,203.059998,199.449997,202.580002,200.298798,2131600,2.279999
27/06/2023,202.559998,204.070007,202.449997,203.339996,201.050232,2358800,0.779998
28/06/2023,203.419998,203.919998,202,202.5,200.219696,1972000,-0.919998
29/06/2023,202.419998,206.630005,201.740005,206.470001,204.144989,2544100,4.050003
30/06/2023,207.669998,208.490005,206.809998,207.5,205.163391,2986200,-0.169998
03/07/2023,206.789993,208.639999,205.039993,208.300003,205.954376,1215100,1.51001
05/07/2023,207.399994,208.339996,205.949997,206.429993,204.105423,2335900,-0.970001
06/07/2023,204.970001,205.050003,202.080002,204.009995,201.712677,2102300,-0.960006
07/07/2023,202.880005,205.720001,202.160004,203.259995,200.971115,2253700,0.37999
10/07/2023,204.210007,207.979996,203.619995,207.740005,205.400696,3102200,3.529998
11/07/2023,208.440002,209.529999,207.440002,208.729996,206.379532,2801500,0.289994
12/07/2023,210.389999,210.869995,208.350006,208.520004,206.171906,2967000,-1.869995
13/07/2023,207.669998,209.210007,207.190002,208.710007,206.359772,2324300,1.040009
14/07/2023,207.910004,207.910004,205.5,206.139999,203.818695,2161200,-1.770005
17/07/2023,205.570007,208.830002,205.259995,208.169998,205.825836,2150700,2.599991
18/07/2023,206.699997,207.160004,203.949997,205.25,202.938721,3668800,-1.449997
19/07/2023,203.850006,206.059998,203.830002,205.169998,202.859619,2506000,1.319992
20/07/2023,206.149994,209.240005,205.580002,207.960007,205.61821,2532700,1.810013
21/07/2023,208.309998,210.389999,207.779999,208.600006,206.251007,7529600,0.290008
24/07/2023,208.669998,210.160004,208.210007,209.320007,206.962891,1846700,0.650009
25/07/2023,208.149994,210.139999,207.270004,209.679993,207.318832,1968400,1.529999
26/07/2023,208.779999,209.399994,207.190002,208.259995,205.91481,3293100,-0.520004
27/07/2023,203.710007,204.119995,195.649994,196.410004,194.198273,6595500,-7.300003
28/07/2023,197.660004,198.210007,195.009995,195.190002,192.992004,3934500,-2.470002
31/07/2023,195.119995,195.509995,193.419998,194.130005,191.943939,3446400,-0.98999
01/08/2023,193.350006,194.800003,192.960007,193.479996,191.30127,3973100,0.12999
02/08/2023,193.899994,195.300003,192.399994,192.899994,190.727783,2997600,-1
03/08/2023,192.779999,192.899994,190.460007,190.509995,188.3647,2508900,-2.270004
04/08/2023,191.259995,191.820007,188.809998,189.210007,187.079361,2408300,-2.049988
07/08/2023,190.110001,190.669998,188.600006,189.600006,187.464951,2842700,-0.509995
08/08/2023,188.600006,188.600006,186.570007,187.649994,185.536911,3261700,-0.950012
09/08/2023,187.050003,190.270004,187,189.240005,187.109009,3224700,2.190002
10/08/2023,188.220001,190.619995,188.059998,188.740005,187.63591,2811700,0.520004
11/08/2023,188.199997,191.440002,188.199997,190.669998,189.554611,2700000,2.470001
14/08/2023,190.949997,191.809998,189.160004,189.509995,188.401398,2444200,-1.440002
15/08/2023,187.979996,188.419998,186.559998,187.800003,186.701401,2252000,-0.179993
16/08/2023,187.649994,188.5,186.410004,186.490005,185.399063,2241300,-1.159989
