Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,161.330002,162.820007,161.149994,162.75,157.956787,6414700,1.419998
14/02/2023,162.740005,162.970001,161.759995,162.039993,157.267685,6316000,-0.700012
15/02/2023,161.949997,161.979996,159.289993,159.369995,154.676331,12621800,-2.580002
16/02/2023,159.070007,159.649994,157.919998,158.240005,153.579605,11177000,-0.830002
17/02/2023,157.020004,161.110001,156.619995,160.389999,156.785904,12401900,3.369995
21/02/2023,159.649994,160.350006,157.889999,158,154.449615,9423900,-1.649994
22/02/2023,158.5,158.850006,157.369995,157.779999,154.234543,9820200,-0.720001
23/02/2023,157.710007,158.589996,156.669998,157.729996,154.185684,9385100,0.019989
24/02/2023,156.649994,156.850006,155.210007,155.970001,152.465225,8689700,-0.679993
27/02/2023,156.449997,156.899994,155.080002,155.630005,152.132858,7267100,-0.819992
28/02/2023,154.979996,155.270004,153.039993,153.259995,149.816116,9062300,-1.720001
01/03/2023,153.009995,153.240005,151.910004,152.570007,149.141647,6767000,-0.439988
02/03/2023,151.75,152.759995,151.229996,152.449997,149.024338,8762500,0.699997
03/03/2023,153.369995,154.119995,152.839996,154.020004,150.559036,5747200,0.650009
06/03/2023,154.660004,155.729996,154.570007,155.559998,152.064438,8148200,0.899994
07/03/2023,156.089996,156.25,153.350006,154.089996,150.627472,7457700,-2
08/03/2023,153.979996,154.199997,152.479996,152.960007,149.522858,6230500,-1.019989
09/03/2023,153.460007,153.600006,150.710007,151.240005,147.841522,7439400,-2.220002
10/03/2023,151.860001,153.490005,151.100006,151.610001,148.203201,8504300,-0.25
13/03/2023,152.089996,155.910004,151.570007,153.059998,149.620605,10799600,0.970002
14/03/2023,153.279999,154.029999,151.899994,153.919998,150.461288,8421200,0.639999
15/03/2023,152.839996,154.889999,152.529999,154.350006,150.881638,7757700,1.51001
16/03/2023,153.449997,154.369995,152.600006,154.029999,150.568817,7605500,0.580002
17/03/2023,154.479996,154.949997,152.300003,152.380005,148.955902,20540700,-2.099991
20/03/2023,152.470001,154.070007,152.380005,153.889999,150.431961,7129000,1.419998
21/03/2023,154,154.130005,152.169998,153.889999,150.431961,8376800,-0.110001
22/03/2023,153.850006,154.059998,151.029999,151.050003,147.655792,7943500,-2.800003
