Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,114.370003,115.620003,113.800003,115.279999,108.708054,2247600,0.909996
14/02/2023,114.790001,115.080002,112.949997,114.209999,107.699051,2462300,-0.580002
15/02/2023,113.650002,114.82,113.199997,114.790001,108.245995,2527300,1.139999
16/02/2023,112.5,113.339996,110.760002,112,107.013428,2695100,-0.5
17/02/2023,111.959999,113.040001,110.68,112.989998,107.959343,2827700,1.029999
21/02/2023,112,112.400002,109.18,109.25,104.385864,3889100,-2.75
22/02/2023,109.529999,110.379997,108.510002,108.940002,104.089661,2655000,-0.589997
23/02/2023,109.699997,110.290001,108.010002,108.910004,104.061005,2943800,-0.789993
24/02/2023,108.110001,108.540001,106.760002,107.800003,103.000427,2862900,-0.309998
27/02/2023,108.860001,110.690002,108.199997,108.269997,103.449493,3556000,-0.590004
28/02/2023,108.120003,108.919998,107.25,107.739998,102.943085,3380500,-0.380005
01/03/2023,111.040001,112.330002,109.739998,110.209999,105.303123,4914700,-0.830002
02/03/2023,109.75,110.239998,107.720001,109.900002,105.00692,7589300,0.150002
03/03/2023,110.779999,111.989998,109.610001,111.260002,106.306366,3040800,0.480003
06/03/2023,111.400002,111.620003,109.68,109.93,105.035583,2820800,-1.470002
07/03/2023,110,110.010002,107.040001,107.089996,102.322029,3372800,-2.910004
08/03/2023,107.440002,107.769997,106.18,107.160004,102.388916,3434700,-0.279998
09/03/2023,107.660004,108.559998,105.419998,105.519997,100.82193,3463700,-2.140007
10/03/2023,105.540001,107,103.739998,104.059998,99.426941,3693900,-1.480003
13/03/2023,103.669998,104.68,102.730003,103.5,98.891861,4211100,-0.169998
14/03/2023,104.589996,105.169998,101.370003,102.779999,98.203926,4772000,-1.809997
15/03/2023,101.32,102.82,100.269997,102.779999,98.203926,4891700,1.459999
16/03/2023,101.779999,104.43,101.480003,104.209999,99.570251,3642600,2.43
17/03/2023,104.349998,104.459999,101.970001,103.019997,98.433235,11385700,-1.330001
20/03/2023,103.410004,104.449997,103.220001,104.309998,99.665802,2721900,0.899994
21/03/2023,105.239998,105.480003,103.370003,104.290001,99.646698,2623600,-0.949997
22/03/2023,104.32,104.550003,101.5,101.540001,97.019135,2805500,-2.779999
23/03/2023,101.660004,102.93,100.760002,101,96.503166,3177300,-0.660004
24/03/2023,100.370003,101.339996,100.160004,101.139999,96.636948,3552900,0.769996
27/03/2023,102.220001,102.279999,100.599998,101.489998,96.971359,2797400,-0.730003
28/03/2023,101.589996,102.830002,101.309998,101.739998,97.210228,2462800,0.150002
29/03/2023,102.809998,103.239998,101.900002,103.190002,98.595673,3221600,0.380004
30/03/2023,103.75,103.919998,102.529999,102.779999,98.203926,2349700,-0.970001
31/03/2023,103.5,105.190002,103.010002,105.110001,100.430191,3611500,1.610001
03/04/2023,105.150002,105.839996,104.18,104.57,99.91423,4017300,-0.580002
04/04/2023,104.900002,104.900002,102.07,102.25,97.697517,3473300,-2.650002
05/04/2023,102.360001,102.769997,101.68,102.290001,97.735741,2652000,-0.07
06/04/2023,102.349998,102.800003,101.519997,101.559998,97.038246,2419200,-0.79
10/04/2023,101.599998,103.129997,101.050003,102.760002,98.184814,2880200,1.160004
11/04/2023,103.629997,104.779999,103.309998,104.559998,99.904671,2952000,0.930001
12/04/2023,105,105.150002,103.690002,104.370003,99.723137,2724800,-0.629997
13/04/2023,104.839996,106.440002,104.089996,106.150002,101.423882,3435200,1.310006
14/04/2023,106,107.120003,105.010002,105.769997,101.060799,2793600,-0.230003
