Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,108.709999,109.57,108.349998,109.550003,106.568153,7383100,0.840004
14/02/2023,109.949997,110,108.190002,108.739998,105.780197,6983900,-1.209999
15/02/2023,108.529999,108.790001,107.559998,107.68,104.749046,6416600,-0.849999
16/02/2023,106.82,107.459999,106.230003,106.510002,103.610893,5959300,-0.309998
17/02/2023,106.330002,109.540001,105.519997,109.519997,106.538956,9474600,3.189995
21/02/2023,108.900002,109.879997,108.629997,109.07,106.101219,6741500,0.169998
22/02/2023,110.209999,110.32,108.919998,109.160004,106.188774,7213900,-1.049995
23/02/2023,109.260002,111.239998,109.099998,110.589996,107.579842,6922800,1.329994
24/02/2023,110.089996,110.330002,108.889999,109.889999,106.898888,5787900,-0.199997
27/02/2023,110.029999,110.129997,108.519997,109.360001,106.383316,5654800,-0.669998
28/02/2023,108.830002,108.839996,106.160004,106.239998,103.348236,10209900,-2.590004
01/03/2023,105.959999,107.550003,105.959999,106.650002,103.747086,6099000,0.690003
02/03/2023,106.629997,107.370003,106.099998,107.010002,104.097282,5097500,0.380005
03/03/2023,107.379997,107.389999,106.129997,106.879997,103.970818,6124300,-0.5
06/03/2023,107.660004,111.239998,107.449997,111.099998,108.075958,17776600,3.439994
07/03/2023,111.769997,112.18,110.720001,111.269997,108.241325,13805300,-0.5
08/03/2023,110.93,111.279999,107.589996,108.279999,105.332718,8440800,-2.650001
09/03/2023,109.300003,109.900002,107.110001,107.599998,104.671227,5842500,-1.700005
10/03/2023,107.440002,110.720001,107.339996,107.690002,104.758774,9738500,0.25
13/03/2023,104.470001,108.839996,104.400002,105.730003,102.852135,10687100,1.260002
14/03/2023,105.449997,107.129997,104.519997,106.970001,104.781822,9806900,1.520004
15/03/2023,106.480003,108.029999,105.57,107.629997,105.428322,10942700,1.149994
16/03/2023,106.5,107.709999,104.230003,107.339996,105.144257,9441500,0.839996
17/03/2023,107.150002,107.309998,103.489998,104.099998,101.970528,26402100,-3.050004
20/03/2023,104.82,106.910004,104.82,105.849998,103.684731,12865800,1.029998
21/03/2023,106,106.43,104.760002,105.540001,103.381073,11571800,-0.459999
22/03/2023,105.470001,106,104.389999,104.400002,102.264397,5705800,-1.069999
23/03/2023,104.099998,104.629997,103.459999,104.230003,102.09787,6801700,0.130005
24/03/2023,104.089996,105.010002,102.440002,104.800003,102.656212,6661800,0.710007
27/03/2023,106.080002,107.610001,105.989998,106.93,104.742645,7563100,0.849998
28/03/2023,106.610001,107.029999,105.440002,105.529999,103.371277,6679500,-1.080002
29/03/2023,105.620003,105.870003,104.529999,104.919998,102.773766,6310200,-0.700005
30/03/2023,105.120003,106.199997,104.540001,105.919998,103.753304,5017400,0.799995
31/03/2023,106.230003,106.529999,105.519997,106.389999,104.213692,7184300,0.159996
03/04/2023,105.949997,109.480003,105.57,108.870003,106.64296,6964100,2.920006
04/04/2023,108.699997,109.339996,108.160004,108.830002,106.603775,6108200,0.130005
05/04/2023,109.910004,112.339996,109.580002,111.910004,109.620773,8006100,2
06/04/2023,113,114.169998,111.639999,112.330002,110.032181,6894500,-0.669998
10/04/2023,112.959999,113.089996,111.169998,112.610001,110.306458,6446500,-0.349998
11/04/2023,112.720001,113.309998,112.32,112.489998,110.188904,5639800,-0.230003
12/04/2023,112.25,114.309998,111.879997,113.75,111.423134,6136700,1.5
13/04/2023,114.970001,115.82,113.650002,115.580002,113.215698,7332300,0.610001
14/04/2023,115.739998,116.169998,114.660004,115.309998,112.951218,5005100,-0.43
17/04/2023,115.690002,116.449997,114.199997,115.010002,112.657364,6575500,-0.68
18/04/2023,114.480003,115.120003,113.730003,114.830002,112.481041,5454500,0.349999
19/04/2023,114.489998,115.389999,114.010002,114.129997,111.795357,4683400,-0.360001
20/04/2023,114.18,114.519997,113,114.169998,111.834541,4657900,-0.010002
21/04/2023,114.870003,115.650002,114.589996,115.370003,113.009995,6554600,0.5
24/04/2023,115.639999,116.279999,114.769997,115.940002,113.568329,4299100,0.300003
25/04/2023,116.220001,116.860001,115.910004,116.529999,114.146263,5662800,0.309998
26/04/2023,115.199997,115.199997,112.720001,113.43,111.109673,6607900,-1.769997
27/04/2023,114.599998,115.360001,110.660004,115.160004,112.804291,9975200,0.560006
28/04/2023,114.360001,115.529999,113.459999,115.470001,113.107948,8049900,1.11
01/05/2023,115.800003,116.599998,115.269997,116.339996,113.960144,5238900,0.539993
02/05/2023,116.669998,118.389999,115.809998,117.889999,115.478447,8175600,1.220001
03/05/2023,118.349998,119.650002,117.93,118.220001,115.801704,6738600,-0.129997
04/05/2023,118,118,116.489998,117.370003,114.969086,6490200,-0.629997
05/05/2023,117.379997,117.889999,116.559998,117.68,115.272743,4534000,0.300003
08/05/2023,117.080002,118.440002,116.440002,118.379997,115.95842,5157300,1.299995
09/05/2023,118.25,118.629997,117.339996,117.43,115.027855,4933100,-0.82
10/05/2023,117.410004,118.169998,116.419998,117.900002,115.488243,5605400,0.489998
11/05/2023,117.580002,117.790001,116.379997,117.550003,115.145401,5596700,-0.029999
12/05/2023,118,118.550003,116.699997,117.139999,114.743782,5233100,-0.860001
15/05/2023,117.139999,117.739998,115.489998,116.370003,113.98954,5697200,-0.769996
16/05/2023,115.879997,116.760002,115.290001,116.080002,113.705467,4278200,0.200005
17/05/2023,116.370003,116.660004,113.480003,114.760002,112.412483,7210400,-1.610001
18/05/2023,114.139999,115.07,113.330002,114,111.668022,6437100,-0.139999
19/05/2023,114.330002,116.239998,114.099998,115.489998,113.127533,7647000,1.159996
22/05/2023,115.480003,117.080002,114.330002,114.489998,112.147987,5607400,-0.990005
23/05/2023,113.970001,114.790001,113.050003,113.269997,110.95295,7733000,-0.700004
