Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,122.82,125.720001,122.459999,125.150002,123.552963,5689800,2.330002
14/02/2023,123.949997,126.360001,123.739998,126.199997,124.589569,4845900,2.25
15/02/2023,124.900002,127.5,124.900002,127.480003,125.853233,5687900,2.580001
16/02/2023,125.43,127.209999,124.110001,124.379997,122.792786,4722200,-1.050003
17/02/2023,123.709999,124.889999,123.440002,124.839996,123.246918,5161500,1.129997
21/02/2023,123.279999,124,120.980003,121.099998,119.554642,5110300,-2.180001
22/02/2023,121.099998,121.400002,119.639999,119.900002,118.369965,5022000,-1.199996
23/02/2023,120.760002,120.760002,118.550003,119.959999,118.429192,4101900,-0.800003
24/02/2023,117.970001,118.739998,117.339996,118.040001,116.533699,4693000,0.07
27/02/2023,119.260002,119.82,118.32,118.529999,117.017441,4239800,-0.730003
28/02/2023,118.739998,120.400002,117.849998,118.790001,117.274124,8414100,0.050003
01/03/2023,117.949997,119.790001,117.830002,118.580002,117.066803,4120500,0.630005
02/03/2023,117.550003,119.959999,117.550003,119.580002,118.054047,4443200,2.029999
03/03/2023,120.129997,121.040001,119.019997,120.940002,119.737137,3871800,0.810005
06/03/2023,121.129997,121.989998,119.959999,120.169998,118.974792,5183800,-0.959999
07/03/2023,120.199997,121.019997,119.230003,119.589996,118.400558,5345700,-0.610001
08/03/2023,119.269997,120.040001,118.730003,119.860001,118.667877,4175200,0.590004
09/03/2023,120.080002,121.860001,117.550003,117.870003,116.69767,5635900,-2.209999
10/03/2023,118.830002,118.989998,116.639999,117.489998,116.321442,5979600,-1.340004
13/03/2023,115.82,118.290001,115.790001,116.860001,115.697716,6038200,1.040001
14/03/2023,119,119.489998,117.230003,119,117.816422,6050800,0
15/03/2023,116.32,118.629997,115.809998,118.169998,116.994682,6599200,1.849998
16/03/2023,116.860001,120.809998,116.610001,120.650002,119.45002,5658700,3.790001
17/03/2023,121.169998,121.730003,118.669998,120.389999,119.192604,12868900,-0.779999
20/03/2023,120.989998,122.68,119.809998,121.199997,119.994545,7594100,0.209999
21/03/2023,123.5,126.059998,122.970001,125.610001,124.360687,15078800,2.110001
22/03/2023,123.660004,125.260002,119.330002,119.5,118.311455,17625500,-4.160004
23/03/2023,120.470001,123.269997,119.470001,120.970001,119.766838,7628100,0.5
24/03/2023,120.230003,121,119.32,120.709999,119.509422,6158800,0.479996
27/03/2023,121.019997,121.07,117.610001,117.809998,116.638268,6564200,-3.209999
28/03/2023,117.949997,118.440002,116.849998,117.870003,116.69767,4461400,-0.079994
29/03/2023,118.639999,120.57,118.489998,120.489998,119.291611,5644000,1.849999
30/03/2023,121.029999,121.440002,119.339996,120.099998,118.905487,4578900,-0.930001
31/03/2023,120.919998,122.709999,120.599998,122.639999,121.420235,5659400,1.720001
03/04/2023,122.5,122.849998,120.82,121.669998,120.459877,4838400,-0.830002
04/04/2023,121.379997,123.949997,121.360001,123.690002,122.459778,5895300,2.310005
05/04/2023,123,123.330002,120.559998,120.900002,119.697533,4331400,-2.099998
06/04/2023,119.510002,120.489998,117.849998,120.220001,119.024292,4256900,0.709999
10/04/2023,119.300003,121.910004,119.129997,121.910004,120.697487,3731200,2.610001
11/04/2023,122.040001,124.080002,122.040001,123.300003,122.073662,4471000,1.260002
12/04/2023,124.760002,124.860001,123.220001,123.660004,122.430092,4524900,-1.099998
13/04/2023,124.639999,126.669998,124.459999,126.43,125.172531,5355300,1.790001
14/04/2023,127,127.489998,125.489998,125.949997,124.697304,4828700,-1.050003
17/04/2023,126.029999,126.480003,125.129997,126.190002,124.934921,3917900,0.160003
18/04/2023,127.230003,127.279999,125.019997,126.209999,124.95472,3857700,-1.020004
19/04/2023,126,126.080002,124.919998,125.669998,124.420082,3547400,-0.330002
20/04/2023,124.800003,125.349998,123.709999,124.449997,123.212212,3891600,-0.350006
21/04/2023,124.400002,125.68,123.620003,125.529999,124.281479,3651400,1.129997
24/04/2023,125.510002,127.129997,125.150002,127.089996,125.825966,3790900,1.579994
25/04/2023,126.529999,126.769997,124.050003,124.660004,123.420135,4383300,-1.869995
26/04/2023,124.209999,124.980003,123.290001,123.839996,122.608292,4003200,-0.370003
27/04/2023,124.440002,126.010002,123.139999,125.699997,124.449791,4252100,1.259995
28/04/2023,125.150002,127.07,124.959999,126.720001,125.459648,4420700,1.569999
01/05/2023,126.919998,128.679993,126.860001,127.919998,126.647705,4112600,1
02/05/2023,127.150002,127.580002,125.169998,127.260002,125.994278,3831600,0.11
03/05/2023,125.489998,128.380005,123.669998,126.739998,125.479439,4560100,1.25
04/05/2023,124.940002,125.190002,122.82,123.669998,122.43998,6177100,-1.270004
05/05/2023,125.93,127.029999,125.220001,126.589996,125.330933,4887500,0.659996
08/05/2023,127.260002,127.690002,125.980003,126.879997,125.61805,3892600,-0.380005
09/05/2023,125.269997,125.660004,124.169998,125.099998,123.855759,4082100,-0.169999
10/05/2023,126.290001,126.459999,122.169998,123.510002,122.28157,5052600,-2.779999
11/05/2023,123.449997,123.860001,121.900002,122.220001,121.00441,5923100,-1.229996
12/05/2023,120.989998,121.199997,119.029999,120.209999,119.014397,6571800,-0.779999
15/05/2023,119.82,119.989998,118.010002,119.830002,118.638176,5518200,0.010002
16/05/2023,117.5,117.839996,116.120003,116.480003,115.321503,8306400,-1.019997
17/05/2023,116.379997,117.129997,115.25,116.980003,115.816521,7765400,0.600006
18/05/2023,117.43,119.150002,116.849998,118.870003,117.687721,5970500,1.440003
19/05/2023,114.559998,115.489998,113.099998,114.760002,113.618607,11672400,0.200004
22/05/2023,112.849998,112.849998,110.019997,110.18,109.084152,12710300,-2.669998
23/05/2023,109.769997,111.059998,108.190002,108.779999,107.698074,11790400,-0.989998
24/05/2023,109,109.099998,107.199997,108.290001,107.212952,8503200,-0.709999
25/05/2023,108.349998,108.970001,107.419998,107.480003,106.411011,6729800,-0.869995
26/05/2023,107,108.449997,107,107.510002,106.440704,7911200,0.510002
30/05/2023,108.400002,108.879997,106.269997,106.519997,105.460548,9335200,-1.880005
31/05/2023,105.699997,106.169998,104.830002,105.260002,104.213097,21465200,-0.439995
01/06/2023,104.18,104.599998,102.900002,103.629997,102.599297,12025200,-0.550003
02/06/2023,107.629997,108.419998,106.129997,107.779999,107.059273,11835000,0.150002
05/06/2023,107.879997,107.879997,105.18,105.199997,104.496521,7434000,-2.68
06/06/2023,105.489998,106.75,105.199997,106.190002,105.479904,7896300,0.700004
07/06/2023,106.040001,108.239998,105.419998,107.089996,106.373886,11123900,1.049995
08/06/2023,107.160004,107.519997,105.669998,106.199997,105.489838,9137600,-0.960007
09/06/2023,105.910004,106.279999,105.349998,105.860001,105.152115,5795200,-0.050003
12/06/2023,106.290001,106.849998,104.599998,106.830002,106.115631,7964600,0.540001
13/06/2023,107.139999,107.480003,106.290001,106.779999,106.065956,8460500,-0.36
