Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,138.940002,140.449997,138.740005,140.070007,136.59668,5081600,1.130005
14/02/2023,140.139999,140.240005,138.619995,139.279999,135.826263,5253500,-0.86
15/02/2023,139.110001,139.320007,138.070007,138.960007,135.514221,5530300,-0.149994
16/02/2023,137.389999,138.199997,136.550003,137.139999,133.739334,7595700,-0.25
17/02/2023,136.589996,140.039993,136.589996,140.009995,136.538162,8034700,3.419999
21/02/2023,138.869995,140.889999,138.869995,139.910004,136.440659,6899500,1.040009
22/02/2023,139.979996,141.580002,139.880005,140.5,137.016022,6126300,0.520004
23/02/2023,140.229996,141.139999,139.100006,140.050003,136.577164,5835400,-0.179993
24/02/2023,138.929993,139.429993,138.080002,139.259995,135.806763,5260700,0.330002
27/02/2023,139.610001,140.470001,138.529999,139.139999,135.689743,5820900,-0.470002
28/02/2023,138.449997,138.589996,137.279999,137.559998,134.148911,6709900,-0.889999
01/03/2023,138.050003,138.330002,136.509995,137.660004,134.246429,7101800,-0.389999
02/03/2023,138,140.429993,137.779999,139.929993,136.460144,5924600,1.929993
03/03/2023,141.190002,141.240005,139.970001,140.949997,137.454849,5259400,-0.240005
06/03/2023,140.729996,141.139999,139.940002,140.350006,136.869736,4943100,-0.37999
07/03/2023,140.429993,140.619995,137.339996,137.559998,134.148911,5606800,-2.869995
08/03/2023,137.199997,137.690002,136.600006,137.580002,134.168411,5518800,0.380005
09/03/2023,138.149994,138.559998,136.100006,136.570007,133.183487,4467200,-1.579987
10/03/2023,136.949997,137.990005,136.350006,137.190002,133.788101,5928000,0.240005
13/03/2023,137.039993,141.320007,137.039993,138.139999,134.714539,8337100,1.100006
14/03/2023,138.289993,140.110001,137.399994,139.850006,136.382141,9219700,1.560013
15/03/2023,138.809998,142.149994,138.809998,141.830002,138.313034,8823500,3.020004
16/03/2023,141.940002,143.119995,141.610001,142.889999,139.346741,7063400,0.949997
17/03/2023,142.5,143.389999,141.529999,142.929993,139.385742,16018800,0.429993
20/03/2023,143.5,145.399994,143.229996,145.130005,141.531204,8379200,1.630005
21/03/2023,144.910004,145.229996,142.839996,144.080002,140.507233,7753200,-0.830002
22/03/2023,144.039993,145.75,143.830002,143.990005,140.419479,5729100,-0.049988
23/03/2023,144.240005,145.119995,143.190002,143.789993,140.224411,5788400,-0.450012
24/03/2023,144.300003,146.759995,144.300003,146.720001,143.081772,6144800,2.419998
27/03/2023,146.889999,147.419998,145.869995,145.949997,142.330872,5917200,-0.940002
28/03/2023,146.550003,146.820007,145.800003,146.360001,142.730698,4213800,-0.190002
29/03/2023,147.080002,147.289993,146.259995,146.809998,143.16954,4987700,-0.270004
30/03/2023,146.919998,147.539993,146.300003,147.449997,143.793671,4117700,0.529999
31/03/2023,147.740005,148.690002,147.570007,148.690002,145.00293,7685900,0.949997
03/04/2023,148.429993,150.070007,147.089996,149.509995,145.802597,5721700,1.080002
04/04/2023,150.080002,151.710007,150.080002,150.229996,146.50473,6714300,0.149994
05/04/2023,151.330002,152.350006,151.149994,151.259995,147.509201,6094800,-0.070007
06/04/2023,151.869995,152.960007,151.419998,152.220001,148.445404,5399700,0.350006
10/04/2023,151.649994,151.669998,149.509995,150.960007,147.216629,4891800,-0.689987
11/04/2023,151.259995,151.440002,150.520004,150.660004,146.924088,6311800,-0.599991
12/04/2023,150.309998,152.410004,149.929993,151.070007,147.323929,6137900,0.760009
13/04/2023,150.899994,151.869995,149.820007,151.770004,148.006546,5489500,0.87001
14/04/2023,151.350006,151.589996,150.509995,151,147.255646,4478800,-0.350006
17/04/2023,151.169998,151.470001,150.339996,151.050003,147.304413,4296400,-0.119995
18/04/2023,150.979996,151.589996,150.100006,151.210007,147.460434,4158400,0.230011
19/04/2023,151.169998,151.899994,150.710007,151.240005,147.4897,3837600,0.070007
20/04/2023,150.369995,151.360001,150.369995,150.850006,148.030396,5370900,0.480011
21/04/2023,154.940002,158.110001,154.5,156.070007,153.152847,14876900,1.130005
24/04/2023,155.220001,157.25,155.220001,156.350006,153.427597,8109800,1.130005
25/04/2023,156.509995,157.940002,155.789993,156.389999,153.466843,8341800,-0.119996
26/04/2023,155.300003,156,154.339996,154.580002,151.690659,4843700,-0.720001
27/04/2023,155.300003,156.610001,155.009995,156.470001,153.545349,4805600,1.169998
28/04/2023,156.279999,157.369995,155.759995,156.380005,153.457031,5754000,0.100006
01/05/2023,156.029999,157.399994,155.800003,156.570007,153.643494,3844600,0.540008
