Date,Open,High,Low,Close,Adj Close,Volume,Movements
13/02/2023,36.549999,37.119999,36.509998,37.110001,34.619621,5498600,0.560002
14/02/2023,37.080002,37.130001,36.450001,36.75,34.283779,5111900,-0.330002
15/02/2023,36.200001,36.529999,35.84,36.52,34.520092,5768700,0.319999
16/02/2023,36.209999,36.560001,35.919998,36.32,34.331043,5046800,0.110001
17/02/2023,36.400002,36.779999,36.189999,36.759998,34.746948,4192300,0.359996
21/02/2023,36.380001,36.509998,36.049999,36.16,34.179806,4910600,-0.220001
22/02/2023,36.189999,36.34,35.900002,36.080002,34.104183,4007500,-0.109997
23/02/2023,36.459999,36.5,35.950001,36.209999,34.227062,4492300,-0.25
24/02/2023,35.98,35.98,35.610001,35.799999,33.839523,4067100,-0.180001
27/02/2023,36.049999,36.080002,35.27,35.389999,33.451973,5580100,-0.66
28/02/2023,35.48,35.779999,35.32,35.529999,33.584301,8847000,0.049999
01/03/2023,35.25,35.41,34.98,35.200001,33.272377,4946900,-0.049999
02/03/2023,35.18,35.400002,34.849998,35.380001,33.442516,4656300,0.200001
03/03/2023,35.59,36.209999,35.41,36.09,34.11364,5417300,0.5
06/03/2023,36.049999,36.150002,35.360001,35.450001,33.508686,7553400,-0.599998
07/03/2023,35.48,35.52,34.099998,34.139999,32.27042,7812400,-1.340001
08/03/2023,34.209999,34.540001,34.139999,34.48,32.591805,4602300,0.270001
09/03/2023,34.490002,34.57,33.27,33.290001,31.466972,7442200,-1.200001
10/03/2023,33.369999,33.639999,32.900002,33.259998,31.438614,8611200,-0.110001
13/03/2023,33.02,33.73,32.939999,33.57,31.731638,8901400,0.55
14/03/2023,33.779999,33.889999,32.810001,33.290001,31.466972,7072300,-0.489998
15/03/2023,32.900002,33.700001,32.73,33.540001,31.703283,7484100,0.639999
16/03/2023,33.23,33.630001,33.009998,33.41,31.5804,7387000,0.18
17/03/2023,33.150002,33.34,32.529999,32.91,31.107782,17224300,-0.240002
20/03/2023,33.099998,33.41,32.889999,33.189999,31.372444,5488700,0.090001
21/03/2023,33.549999,33.830002,33.209999,33.540001,31.703283,7541500,-0.009998
22/03/2023,33.610001,33.709999,32.470001,32.5,30.720234,7712100,-1.110001
23/03/2023,32.34,32.77,32.009998,32.330002,30.559544,7579700,-0.009998
24/03/2023,32.380001,32.790001,31.860001,32.700001,30.909281,8105300,0.32
27/03/2023,33.119999,33.27,32.779999,32.939999,31.136139,9014400,-0.18
28/03/2023,33.349998,34.389999,33.209999,33.82,31.967951,12993600,0.470002
29/03/2023,33.98,34.209999,33.73,34.150002,32.279881,6922400,0.170002
30/03/2023,34.52,34.919998,34.400002,34.630001,32.733593,8036600,0.110001
31/03/2023,34.82,34.84,34.259998,34.580002,32.686329,6708200,-0.239998
03/04/2023,34.889999,35.619999,34.779999,35.459999,33.518139,9678000,0.57
04/04/2023,35.610001,35.939999,35.450001,35.849998,33.88678,7082000,0.239997
05/04/2023,35.709999,36.349998,35.700001,36.119999,34.141994,8635900,0.41
06/04/2023,36.060001,36.200001,35.560001,35.779999,33.820614,5632100,-0.280002
10/04/2023,35.759998,36.130001,35.709999,36.099998,34.123089,5640700,0.34
11/04/2023,36.220001,36.450001,36.139999,36.310001,34.32159,4674700,0.09
12/04/2023,36.549999,36.580002,35.599998,35.689999,33.735542,5295000,-0.86
13/04/2023,35.669998,35.790001,35.43,35.779999,33.820614,4749500,0.110001
14/04/2023,35.790001,35.970001,35.119999,35.32,33.385803,3806100,-0.470001
17/04/2023,35.400002,35.98,35.349998,35.939999,33.971851,4344100,0.539997
18/04/2023,36.049999,36.049999,35.389999,35.580002,33.631569,4850800,-0.469997
19/04/2023,35.450001,35.470001,34.630001,34.830002,32.922638,6338600,-0.619999
20/04/2023,34.549999,36.139999,34.369999,35.369999,33.433067,11551800,0.82
21/04/2023,35.369999,35.470001,34.93,35.27,33.338543,4780500,-0.099999
24/04/2023,35.32,35.52,35.169998,35.5,33.555946,2490100,0.18
25/04/2023,35.419998,35.549999,34.860001,34.889999,32.979351,4364000,-0.529999
26/04/2023,34.57,34.939999,34.560001,34.810001,32.903732,3573500,0.240001
27/04/2023,34.860001,35.200001,34.82,35.099998,33.177853,6040500,0.239997
28/04/2023,35.139999,35.380001,34.959999,35.25,33.319637,11878500,0.110001
01/05/2023,35.299999,35.360001,34.540001,34.610001,32.714687,5128200,-0.689998
02/05/2023,34.59,34.599998,32.869999,33.5,31.665472,8990100,-1.09
03/05/2023,33.259998,33.330002,31.870001,31.959999,30.209805,14148900,-1.299999
04/05/2023,31.959999,32.200001,31.379999,31.549999,29.822258,7069800,-0.41
05/05/2023,31.75,32.330002,31.75,32.169998,30.408302,6666100,0.419998
08/05/2023,32.119999,32.18,31.52,31.66,29.926231,7021100,-0.459999
09/05/2023,31.5,31.6,31.200001,31.440001,29.718283,7951600,-0.059999
10/05/2023,31.57,31.77,31.190001,31.59,29.860067,6884600,0.02
11/05/2023,31.48,31.52,31.02,31.17,29.463068,5341200,-0.31
12/05/2023,31.34,31.389999,30.860001,31.07,29.368542,4846100,-0.27
15/05/2023,31.07,31.52,30.940001,31.5,29.774996,6351300,0.43
16/05/2023,31.42,31.6,31.08,31.35,29.633211,5054600,-0.07
17/05/2023,31.559999,32.080002,31.5,32.040001,30.285423,7651200,0.480002
18/05/2023,31.51,31.549999,31.08,31.459999,30.189463,6540200,-0.050001
19/05/2023,31.5,31.74,31.16,31.280001,30.016731,4856300,-0.219999
22/05/2023,31.190001,31.27,30.15,31.190001,29.930367,10233800,0
23/05/2023,31.110001,31.860001,30.98,31.6,30.323809,7485500,0.489999
